autor,calificacion,contenido,hotel,titulo
AKflyboy,30,"I'm not even sure 3 out of 5 is fair.  Maybe 2.  Don't get me wrong.  I love steak.  They have the beef, properly cut, aged decently, and service isn't bad.  Bu,...",Texas Roadhouse,"Look the other way, Texas."
Lori2000_11,40,"We went by bus however, it is very difficult to take the bus and cross the streets. it is a long walk from the bus to the beach. However we went again thru the ,...",Chileno Beach,Chileno Beach
Lori2000_11,50,"It is 1 hour away from the city but it is worthy. the whole thing last 40 minutes. you get your pictures and your experience. it costs around $250.0 with pictur,...",Cabo Adventures,dolphins
Lori2000_11,50,"I never knew that my stay at Miami Beach was going to be so pleasant; surprise!!! theCrystal Hotel had what I wanted; right on the beach, it has a kitchen, pla,...",Crystal Beach Suites Oceanfront Hotel,"VERY ECONOMIC, and convenient"
StephieAlice,10,"I visited this shop with my family after the children saw some toys in the window. Unfortunately, the shop wasn't quite as child friendly as their window displa,...",Bys A Bawd,Like something from Royston Vasey
StephieAlice,30,"I stayed in the Marriott with my mum and sister on a girly weekend away. We chose this location as it was close enough to Camden, where we needed to visit a uni,...",London Marriott Hotel Maida Vale,Good but not great
StephieAlice,30,"Conveniently located across the road from the Marriott, we decided to grab lunch here whilst our room was being sorted for check in. The food was delicious bu,...",Queen Arms Pub,Nice meal if you can deal with the staff....
StephieAlice,50,"We have stayed here many times and will be staying here many times more in the future. The cottage is really homely, with most of the furniture and decor bein,...",Tower Cottage,Perfect weekend away
StephieAlice,10,"Pros:+ Close to centre+ Manager lovely+ Comfy beds in aircon roomsCons:- Noisy- Cockroaches in showers and tiny bugs everywhere- never any plates etc in,...",Viajero Hostel Cartagena,Go Elsewhere
StephieAlice,50,"We stayed here over Christmas and it was such a relaxing time during a hectic 8 month trip around South America. Whilst we were there, Javier the owner upgraded,...",Tinto Hostel,Beautiful Hostel in Beautiful Barichara
StephieAlice,40,"Pros:+Lovely owner+Quiet hostel+Cheap+Clean+Good internet with computer availableCons:-very basic-old mattresses/ outdated décor and furnishings- bare,...",Adventure Hostel Paraty,Lovely Owner
StephieAlice,40,"We stayed in Kasa Guane for 3 nights and overall, our stay was very good. The owner is actually from the same town as where my boyfriend is from and it was grea,...",Hostel Kasa Guane,A hostel with a good heart
StephieAlice,20,"We stayed here twice in our 8 month stay in South America. The first time was amazing but sadly the second was just so bad we left. The good things about the ,...",Che Lagarto Hostel Paraty,Totally Gone Downhill
StephieAlice,30,"We stayed here over New Year and having spent a good few nights at the Masaya in Santa Marta, we were so let down by this branch of the Masaya Hostels. We wer,...",Masaya Bogotá,What a Letdown
StephieAlice,50,"After a long day and night travelling, we were so grateful to have booked a bed in this hostel. It really is more like a 4/5 star hotel than a hostel. The bed,...",Masaya Santa Marta,Beautiful Hostel
StephieAlice,40,"We stayed here only one night whilst waiting for the boat from Tabatinga to leave. We were welcomed by two lovely people, one owner and one worker who was new. ,...",Mahatu Guest House,Very welcoming
StephieAlice,40,"Ive just written another review for this hostel on a different account...To summarise:+welcoming staff+good location+good price+comfy beds+hammocks to rel,...",Mahatu Guest House & Hostel,This hostel has two accounts....
StephieAlice,10,"We originally tried to find a different hostel but after getting lost, stumbled on this. With it being a Hostelling International hostel, we expected it to be o,...",Hostel Manaus,"Awful, just awful"
StephieAlice,50,"We had been recommended this campsite over others by friends and we are glad we took their advise. The price of the camping was far cheaper than any of the othe,...",Camping Tequendama Playa Arrecifes Parque Tayrona,"""Finca Don Pedro"""
StephieAlice,30,"This hostel, as many others have said, is hit or miss...The pros for us were comfy beds (like, REALLY comfy), a beautiful hostel with a pizza oven and a fire p,...",Renacer Hostal,AKA Colombian Highlands
StephieAlice,10,"After staying here, we wished we had stayed at Macondo instead...First, the good points: + Joanna is lovely and really does go out of her way to help+ The l,...",Sam's Vip Hostel San Gil,Definately NOT VIP
StephieAlice,30,"We stayed here courtesy of TAP Airlines who messed up our flight but that was absolutely fine as the hotel was a very welcome change from grubby hostels which w,...","Radisson Blu Hotel, Lisbon",Great after 8 months of hostels!
StephieAlice,30,"We stayed here on our final night in South America after 8 months of travelling and generally, I would say it was one of the better hostels we stayed in, despit,...",186 Lapa Central Hostel,Nice but needs to sack the rude staff member!
StephieAlice,20,"We stayed here for two nights, being told there were no more beds available after this as the entire hostel was full. The funny thing is, you would never have g,...",Happy Buddha Boutique Hostel,"Beautiful Hostel, Zero Atmosphere"
Pameopina,30,"El hotel está en un sitio residencial que buen ambiente las habitaciones de abajo no son tan acorde al hotel eso si bien  aseado, la atención al huésped en muy,...",Hotel de Alborada,Es bueno
Pameopina,30,"No hay agua caliente a pesar de que por teléfono lo ofertan, el servicio no es bueno, al personal le falta capacitarse en atención al cliente, Excelente ubicaci,...",Hotel Ciudad Latin Palace,Puede mejorar
Joselyn S,10,"el hostal no cuenta con servicio de limpieza los fines de semana, tampoco cuenta con internet 100% disponible ( dicen que se cae a cada rato)  no ponen jabón ni,...",Residencial Turistico Guayas,"MAL SERVICIO, MAL HOSTAL"
Andy-Diane2011,50,"Stayed at Charo's for three days in early Dec  Most of the reviews posted here are right on, English is spoken here and that helps alot as we don;t speak Spanis,...",Charo's Hostal,A very pleasant stay
Andy-Diane2011,20,"Do Not Stay here on your first night in Ecuador- rooms are adequate but the bathrooms are not in your room so you must go out into the hallways to get there- th,...",Hostal North Star,First Night in Guayaquil
Andy-Diane2011,50,"This we found after going to several other cities in Ecuador is an outstanding Malecon the best in Ecuador. Enjoy the food at the Yatch Club. A good way to spen,...",Malecon 2000,Best in Ecuador
Lisa F,50,"Exceptionally well organised hostal with a wonderful decor. As a single woman traveller the dormitory was very comfortable. I will definetly return and I cannot,...",Hostal Boutique Bella 269,Fantastic
Lisa F,10,"There was only cold water, it had very poor decor, incorrect information was given, there were no tea/coffe/cooking facilities and it was noisy,",Hostal North Star,an unejoyable stay
Lisa F,40,Some very interesting and unusual religious objects were in the museum,Museo de la Catedral de Arequipa,Unusual display
brisa_del_rio,50,"Good hotel in a neighborhood where there aren't many other hotels geared for international travelers (Chapinero). The location is convenient and close to things,...",Casona del Patio,helpful and comfortable
brisa_del_rio,50,"Bogota has a very nice botanic garden featuring plants of various regions of the country. Very large and inexpensive - a great place to explore plants or just t,...",Jardin Botanico de Bogota Jose Celestino Mutis,"good botanic garden, lots of info"
brisa_del_rio,30,"I tried staying here but the staff were slow to respond to email and the phone number didn't work. I tried finding it in person and it was extremely difficult -,...",El Vivac Hostal,Hard to find
brisa_del_rio,30,"This is an average hotel with clean, comfortable rooms and nice atmosphere, but its probably not worth the money - the service is lacking and the internet recep,...",Hotel Rincon Escandinavo,"Average, not worth the price"
brisa_del_rio,20,"Arrayan y Piedra is a handsome lodge located outside of the beautiful town of Macas, but this hotel fails to deliver a service commensurate with its high price.,...",Hosteria Arrayan y Piedra,Nice scenery but lacking service and convenience
brisa_del_rio,10,"This place is a complete dump, the rooms are tiny and dirty, you have to beg for towels or toilet paper, the staff are morons, and the nerve to charge $15-20 pe,...",Hostal North Star,"Horrible, overpriced, illlegal to boot"
brisa_del_rio,40,"An interesting botanic garden just outside of Puerto Morelos - it has a 1-2 hour long trail loop, self guided but with good plant identification and labels. Not,...",Jardín Botánico Dr. Alfredo Barrera Marin,Good stop if you are interested in plants
David M,50,"Pleasant, relaxing stay in the desert. Very nice hotel with excellent accomodation. High-standard room, very clean, locker, fridge, balcony and luxury bathroom.,...",Hotel Villa Jazmin,"Very nice hotel, excellent to relax"
David M,10,"We booked this night via a very quick view on internet, because we only needed one night to be early in the morning at the airport in Guayaquil, which is only 5,...",Hostal North Star,Worst hotel night ever
Jacektravel,30,"The centre seems to be run very well. I did only 2 dives just to see what's out there. It is ok to check it out but I don't think this area is the usual diving ,...",Divinguru Unawatuna,"If you decided to dive around Galle, this is a very choice. But... just average diving sites."
Jacektravel,20,"Nothing has changed it seems. Same comment: crappy rooms, poor breakfast, helpful owner. I wonder if other hotels in Retung provide the same value. ? Try other,...",Rima Hotel,Owner's politeness won't change the fact that it's a poor hotel
Jacektravel,40,"I stayed at Si Doi the first and last night of my 10-day trip to Bali. Location is great if you like craziness of a beach town. It has a backpacker feel because,...",Si Doi Hotel,Clean choice in a rather crazy part of town
Jacektravel,30,"Good budget choice if you don't mind taking taxis or mototaxis. Stayed there for 2 nights mostly because of the price but also because we didn't plan to spend ,...",The Grey Boutique Inn,Clean and affordable but far from town.
Jacektravel,40,"Stayed 2 nights with some good friends. The place is modern and with no surprises. Large breakfast, good size room, v. good service. Located a walking distance ,...",Solaris Hotel Kuta,A business hotel
Jacektravel,40,"I spend one full week at the Bunaken Beach Resort. The place is simple, clean and has a good location. My bed was a bit soft and some people complained about mo,...",Bunaken Beach Resort,"Good value, friendly staff"
Jacektravel,40,"The access from Manado is very easy, 30-40 min. boat ride. The resorts on the island cater to divers mostly. You can do some snorkeling too but apart from these,...",Bunaken National Marine Park,For serious scuba divers
Jacektravel,40,"I was at this hotel for 5 night while looking for an apartment to live in Singapore (job related). It is only 3 bus stops from Orchard Rd., the buses run very o,...",Metropolitan YMCA Singapore,Only 3 bus stops from Orchard Rd. - worth every penny.
Jacektravel,40,"Stayed a few nights while attending a convention at a nearby Orchid Sheraton. Saved a lot of money. Swan hotel is only $1.50 from the Sheraton. Clean, basic, a,...",Swan Hotel Bangkok,Basic but has a pool and is at a good price.
Jacektravel,20,"I stayed there because the hotel was very close to the airport - had a flight the next day in the morning. The airport is very close to the center - $5 - so the,...",Hostal North Star,Close to the airport but not worth staying at.
Jacektravel,50,"We stayed at this hotel/house for 4 nights. The apartment had a living room, bedroom, large bathroom and a small kitchenette. It felt like we were residents of ,...",Apart-Hotel Carlton House,Spacious and cozy - apartment for a price of a hotel room
Jacektravel,50,"We spent 4 nights in Cartagena. The first 2 nights we spent at Santa Cruz Hostal which was located in the center but was a very spartan room (hot shower, aircon,...",Casa Mara Cartagena,A very nice place in a not-always-pretty neighbourhood.
