autor,calificacion,contenido,hotel,titulo
StephieAlice,50,"After a long day and night travelling, we were so grateful to have booked a bed in this hostel. It really is more like a 4/5 star hotel than a hostel. The bed,...",Masaya Santa Marta,Beautiful Hostel
Lisa F,10,"There was only cold water, it had very poor decor, incorrect information was given, there were no tea/coffe/cooking facilities and it was noisy,",Hostal North Star,an unejoyable stay
StephieAlice,40,"We stayed here only one night whilst waiting for the boat from Tabatinga to leave. We were welcomed by two lovely people, one owner and one worker who was new. ,...",Mahatu Guest House,Very welcoming
Lisa F,40,Some very interesting and unusual religious objects were in the museum,Museo de la Catedral de Arequipa,Unusual display
StephieAlice,40,"Ive just written another review for this hostel on a different account...To summarise:+welcoming staff+good location+good price+comfy beds+hammocks to rel,...",Mahatu Guest House & Hostel,This hostel has two accounts....
StephieAlice,10,"We originally tried to find a different hostel but after getting lost, stumbled on this. With it being a Hostelling International hostel, we expected it to be o,...",Hostel Manaus,"Awful, just awful"
StephieAlice,50,"We had been recommended this campsite over others by friends and we are glad we took their advise. The price of the camping was far cheaper than any of the othe,...",Camping Tequendama Playa Arrecifes Parque Tayrona,"""Finca Don Pedro"""
StephieAlice,30,"This hostel, as many others have said, is hit or miss...The pros for us were comfy beds (like, REALLY comfy), a beautiful hostel with a pizza oven and a fire p,...",Renacer Hostal,AKA Colombian Highlands
StephieAlice,10,"After staying here, we wished we had stayed at Macondo instead...First, the good points: + Joanna is lovely and really does go out of her way to help+ The l,...",Sam's Vip Hostel San Gil,Definately NOT VIP
StephieAlice,30,"We stayed here courtesy of TAP Airlines who messed up our flight but that was absolutely fine as the hotel was a very welcome change from grubby hostels which w,...","Radisson Blu Hotel, Lisbon",Great after 8 months of hostels!
StephieAlice,30,"We stayed here on our final night in South America after 8 months of travelling and generally, I would say it was one of the better hostels we stayed in, despit,...",186 Lapa Central Hostel,Nice but needs to sack the rude staff member!
StephieAlice,20,"We stayed here for two nights, being told there were no more beds available after this as the entire hostel was full. The funny thing is, you would never have g,...",Happy Buddha Boutique Hostel,"Beautiful Hostel, Zero Atmosphere"
Saritafy,10,"Insect-ridden bed. Bare-handed served wet roll for breakfast. Caked instant coffee that would not melt... I mean, this is the service. Nothing else included, ap,...",Ecuahogar,Health hazard
brisa_del_rio,50,"Good hotel in a neighborhood where there aren't many other hotels geared for international travelers (Chapinero). The location is convenient and close to things,...",Casona del Patio,helpful and comfortable
brisa_del_rio,50,"Bogota has a very nice botanic garden featuring plants of various regions of the country. Very large and inexpensive - a great place to explore plants or just t,...",Jardin Botanico de Bogota Jose Celestino Mutis,"good botanic garden, lots of info"
brisa_del_rio,30,"I tried staying here but the staff were slow to respond to email and the phone number didn't work. I tried finding it in person and it was extremely difficult -,...",El Vivac Hostal,Hard to find
brisa_del_rio,30,"This is an average hotel with clean, comfortable rooms and nice atmosphere, but its probably not worth the money - the service is lacking and the internet recep,...",Hotel Rincon Escandinavo,"Average, not worth the price"
brisa_del_rio,20,"Arrayan y Piedra is a handsome lodge located outside of the beautiful town of Macas, but this hotel fails to deliver a service commensurate with its high price.,...",Hosteria Arrayan y Piedra,Nice scenery but lacking service and convenience
brisa_del_rio,10,"This place is a complete dump, the rooms are tiny and dirty, you have to beg for towels or toilet paper, the staff are morons, and the nerve to charge $15-20 pe,...",Hostal North Star,"Horrible, overpriced, illlegal to boot"
brisa_del_rio,40,"An interesting botanic garden just outside of Puerto Morelos - it has a 1-2 hour long trail loop, self guided but with good plant identification and labels. Not,...",Jardín Botánico Dr. Alfredo Barrera Marin,Good stop if you are interested in plants
David M,50,"Pleasant, relaxing stay in the desert. Very nice hotel with excellent accomodation. High-standard room, very clean, locker, fridge, balcony and luxury bathroom.,...",Hotel Villa Jazmin,"Very nice hotel, excellent to relax"
David M,10,"We booked this night via a very quick view on internet, because we only needed one night to be early in the morning at the airport in Guayaquil, which is only 5,...",Hostal North Star,Worst hotel night ever
